Job Title,Company,Location,Skill,Role,City
Data Analyst Intern,UM IT Solutions,India,r,Data Analyst,Delhi
Senior Specialist – Cloud Engineering,S M Software Solutions Inc,"Bengaluru, Karnataka  ",kubernetes,Data Analyst,Bengaluru
Wordpress Developer,Mindor.Tech,"Bengaluru, Karnataka  ",r,Data Analyst,Bengaluru
Development Engineer  ,AlgoSec,"New Delhi, Delhi  ","go, r",Data Analyst,New Delhi
Web Developer Intern,UM IT Solutions,India,r,Data Analyst,Delhi
Senior Specialist – Cloud Engineering,S M Software Solutions Inc,"Bengaluru, Karnataka  ","kubernetes, r, kubernetes",Data Analyst,Bengaluru
Junior android developer,Koogle®,"New Delhi, Delhi  ",r,Data Analyst,New Delhi
Frontend Developer,Symfor,"Hyderabad, Telangana  ",r,Data Analyst,Hyderabad
Cloud Engineer,Ramrashi Solutions LLP,"Navi Mumbai, Maharashtra  ",r,Data Analyst,Navi Mumbai
Data Analytics - Deputy Manager,Allianz Partners,"Noida, Uttar Pradesh  ","r, analytics",Data Analyst,Noida
Web Developer Intern,UM IT PRIVATE LIMITED,India,r,Data Analyst,Delhi
Data Analyst Trainee,Mdtresy Medical Travel Private Limited,India,"r, analytics",Data Analyst,Delhi
Data Analyst Intern | Excel & SQL Training + Certificate,SkillFied Mentor,India,r,Data Analyst,Delhi
Software Developer Intern,Recruit Forge,"Gurugram, Haryana  ",r,Data Analyst,Gurugram
Software Developer  ,AlgoSec,"New Delhi, Delhi  ","go, r",Data Analyst,New Delhi
Data Analyst Intern,UM IT PRIVATE LIMITED,India,r,Data Analyst,Delhi
Software Engineer,Coral Business Solutions,"Kochi, Kerala  ","java, sql, javascript, html, css, erp, html, sql, r, css, javascript, java, go",Data Analyst,Kochi
Research Scholar,Hifah Technologies,Mumbai Metropolitan Region,r,Data Analyst,Mumbai Metropolitan Region
Full Stack Web Development Intern,Future Interns,India,r,Data Analyst,Delhi
Senior Data Engineer,Bristol Myers Squibb,"Hyderabad, Telangana  ","excel, aws, git, dataengineering, r, analytics, aws, artificialintelligence, go, excel",Data Analyst,Hyderabad
Front-End Developer Intern,UM IT Solutions,India,r,Data Analyst,Delhi
Software Developer 4,Oracle,"Bengaluru, Karnataka  ","oracle, go, r",Data Analyst,Bengaluru
AI/ML Engineer,DraconX Inc.,India,r,Data Analyst,Delhi
Junior Quality Analyst,ValGenesis,"Chennai, Tamil Nadu  ","excel, git, creativity, go, r, excel",Data Analyst,Chennai
Microsoft ETL / SSIS Developers,Fluor Corporation,"Vadodara, Gujarat  ","sql, excel, sas, sql, r, etl, datawarehousing, go, excel",Data Analyst,Vadodara
Lead Generative AI Engineer,Next Mantra Solution Private Limited,"Gurugram, Haryana  ","Python, ML/DL, LLM fine-tuning, NLP, Prompt Engineering, Data Engineering, Statistics, Cloud (AWS/GCP/Azure)",Data Analyst,Gurugram
Software Engineer Intern,Pulchritude® Fashion Studio,India,r,Data Analyst,Delhi
Software Engineer Intern,Esync Technologies,India,"Java, C++, C#, Python, JavaScript, Node.js, React.js, SQL, APIs, Microservices, Cloud, Testing",Data Analyst,Delhi
Cyber Security Analyst,Vedicon,"Bengaluru, Karnataka  ",r,Data Analyst,Bengaluru
Data/ML Engineer,Gleantap,India,r,Data Analyst,Delhi
Data Science Intern,UM IT PRIVATE LIMITED,India,r,Data Analyst,Delhi
Senior SQL Developer,Fluor Corporation,"Vadodara, Gujarat  ","excel, communication, go, r, excel",Data Analyst,Vadodara
MLOps Specialist - Data Sciences,LTIMindtree,Greater Bengaluru Area,r,Data Analyst,Greater Bengaluru Area
Microsoft PowerBI Reports Developers,Fluor Corporation,"Vadodara, Gujarat  ","excel, powerbi, r, analytics, communication, go, businessintelligence, excel",Data Analyst,Vadodara
Python Developer Intern,UM IT PRIVATE LIMITED,India,r,Data Analyst,Delhi
Business Analyst Intern,UM IT PRIVATE LIMITED,India,r,Business Analyst,Delhi
Research & Business Analyst Intern,Skillfied Mentor Jobs,India,r,Business Analyst,Delhi
Junior Quality Analyst,ValGenesis,"Chennai, Tamil Nadu  ","excel, git, creativity, go, r, excel",Business Analyst,Chennai
Research Analyst,Nexreq,"Hyderabad, Telangana  ",r,Business Analyst,Hyderabad
Data Analyst Internship – Work From Home / Remote,SkillFied Mentor,India,"SQL, Excel, Power BI, Tableau, ETL, Python, GCP/Azure/AWS, Looker,",Business Analyst,Delhi
